NAME,Fees,Students,Geo Point,Geo Shape,ADDRESS,CITY,STATE,POPULATION,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,PT_ENROLL,FT_ENROLL,TOT_ENROLL,HOUSING,DORM_CAP,TOT_EMP
A BETTER U BEAUTY BARBER ACADEMY,-1.0,2484.0,"35.11060697400006, -106.58396072199997","{""coordinates"":[-106.58396072199997,35.11060697400006],""type"":""Point""}",5400 PHOENIX AVE NE SUITE 105,ALBUQUERQUE,NM,40.0,35.11060697400006,-106.58396072199996,611511.0,COSMETOLOGY AND BARBER SCHOOLS,7.0,28.0,35.0,2.0,-999.0,5.0
A T STILL UNIVERSITY OF HEALTH SCIENCES,21616.0,2997.0,"40.19365730000004, -92.58933532499998","{""coordinates"":[-92.58933532499998,40.19365730000004],""type"":""Point""}",800 W JEFFERSON,KIRKSVILLE,MO,5433.0,40.1936573,-92.58933532499998,611310.0,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",981.0,3014.0,3995.0,1.0,44.0,1438.0
AANIIIH NAKODA COLLEGE,24210.0,6114.0,"48.48416976800007, -108.75790119799996","{""coordinates"":[-108.75790119799996,48.48416976800007],""type"":""Point""}",269 BLACKFEET AVENUE AGENCY,HARLEM,MT,199.0,48.48416976800007,-108.75790119799996,611310.0,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",49.0,94.0,143.0,2.0,-999.0,56.0
ABC ADULT SCHOOL,25600.0,7357.0,"33.878179, -118.070114","{""coordinates"":[-118.070114,33.878179],""type"":""Point""}",12254 CUESTA DRIVE,CERRITOS,CA,275.0,33.878179,-118.070114,611519.0,OTHER TECHNICAL AND TRADE SCHOOLS,-999.0,195.0,195.0,2.0,-999.0,80.0
ABC BEAUTY ACADEMY,27406.0,12876.308080808081,"32.92981010700004, -96.68440494299995","{""coordinates"":[-96.68440494299995,32.92981010700004],""type"":""Point""}",2109 BUCKINGHAM RD.,RICHARDSON,TX,44.0,32.92981010700004,-96.68440494299996,611511.0,COSMETOLOGY AND BARBER SCHOOLS,-999.0,28.0,28.0,2.0,-999.0,16.0
ABCO TECHNOLOGY,33334.56171284635,12876.308080808081,"33.932121, -118.369774","{""coordinates"":[-118.369774,33.932121],""type"":""Point""}",11222 S. LA CIENEGA BLVD STE 588,INGLEWOOD,CA,86.0,33.932121,-118.369774,611519.0,OTHER TECHNICAL AND TRADE SCHOOLS,69.0,5.0,74.0,2.0,-999.0,12.0
ABCOTT INSTITUTE,33334.56171284635,12876.308080808081,"42.446326842000076, -83.21061697799996","{""coordinates"":[-83.21061697799996,42.446326842000076],""type"":""Point""}","16250 NORTHLAND DRIVE, SUITE 205",SOUTHFIELD,MI,178.0,42.44632684200008,-83.21061697799996,611519.0,OTHER TECHNICAL AND TRADE SCHOOLS,-999.0,142.0,142.0,2.0,-999.0,36.0
ABILENE CHRISTIAN UNIVERSITY,33334.56171284635,12876.308080808081,"32.468942765000065, -99.70979707799995","{""coordinates"":[-99.70979707799995,32.468942765000065],""type"":""Point""}",NOT AVAILABLE,ABILENE,TX,6335.0,32.468942765000065,-99.70979707799997,611310.0,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",1613.0,3678.0,5291.0,1.0,2430.0,1044.0
ABRAHAM BALDWIN AGRICULTURAL COLLEGE,33334.56171284635,12876.308080808081,"31.48188946600004, -83.52828134099997","{""coordinates"":[-83.52828134099997,31.48188946600004],""type"":""Point""}",2802 MOORE HWY,TIFTON,GA,4473.0,31.48188946600004,-83.52828134099997,611210.0,JUNIOR COLLEGES,1518.0,2472.0,3990.0,1.0,1198.0,483.0
ABRAHAM LINCOLN UNIVERSITY,33334.56171284635,12876.308080808081,"34.146374, -118.256461","{""coordinates"":[-118.256461,34.146374],""type"":""Point""}","100 WEST BROADWAY, SUITE 600",GLENDALE,CA,325.0,34.146374,-118.256461,611310.0,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",28.0,237.0,265.0,2.0,-999.0,60.0
ACADEMIA SERRANT INC,33334.56171284635,12876.308080808081,"18.00976532100003, -66.61420497599994","{""coordinates"":[-66.61420497599994,18.00976532100003],""type"":""Point""}",7033 MENDEZ VIGO,PONCE,PR,193.0,18.00976532100003,-66.61420497599994,611519.0,OTHER TECHNICAL AND TRADE SCHOOLS,-999.0,157.0,157.0,2.0,-999.0,36.0
ACADEMY COLLEGE,33334.56171284635,12876.308080808081,"44.855802, -93.299885","{""coordinates"":[-93.299885,44.855802],""type"":""Point""}","1600 W. 82ND STREET, SUITE 100",BLOOMINGTON,MN,125.0,44.855802,-93.299885,611310.0,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",8.0,87.0,95.0,2.0,-999.0,30.0
ACADEMY DI CAPELLI-SCHOOL OF COSMETOLOGY,33334.56171284635,12876.308080808081,"41.48990525600004, -72.80689730999995","{""coordinates"":[-72.80689730999995,41.48990525600004],""type"":""Point""}",950 YALE AVE UNIT 20,WALLINGFORD,CT,245.0,41.48990525600004,-72.80689730999995,611511.0,COSMETOLOGY AND BARBER SCHOOLS,71.0,125.0,196.0,2.0,-999.0,49.0
